Date,Fuel_Used_Liters,Coal_Mined_Tonnes,CO2_Emitted_kg,Trapped_Carbon_kg,Potential_CO2_from_Coal_kg
2000-01-01,18691.180311124645,44166.859163411325,50092.36323381405,15458400.707193963,56732330.595401846
2000-01-02,20768.348724241325,56308.12337207207,55659.174580966755,19707843.180225223,72327784.47142656
2000-01-03,21903.43324659122,49931.193335007236,58701.20110086447,17475917.667252533,64136617.83881679
2000-01-04,18197.039690565747,45768.02064703521,48768.0663707162,16018807.226462323,58789022.521116726
2000-01-05,19462.627065430002,56738.252381140584,52159.84053535241,19858388.333399203,72880285.18357508
2000-01-06,21108.848717197943,61318.49840756651,56571.71456209049,21461474.442648277,78763611.20451917
2000-01-07,20332.898077287497,55419.20309797214,54492.166847130495,19396721.084290247,71185966.37934521
2000-01-08,22361.190790034074,52742.287831500136,59927.99131729132,18459800.741025046,67747468.71956192
2000-01-09,21149.256348617346,49855.22808803423,56680.00701429449,17449329.830811977,64039040.479079954
2000-01-10,21244.65434227176,52560.02785611452,56935.67363728832,18396009.749640077,67513355.78117909
2000-01-11,23906.27163679857,51758.419591524755,64068.80798662017,18115446.857033662,66483689.96531354
2000-01-12,23312.42748571133,57971.8551635639,62477.30566170637,20290149.307247363,74464847.95759782
2000-01-13,22512.877921407166,59869.10736226772,60334.512829371204,20954187.5767937,76901868.40683287
2000-01-14,20546.772938402475,56112.6044307266,55065.351474918636,19639411.55075431,72076640.39126831
2000-01-15,21673.511325063566,60617.2918525535,58085.01035117036,21216052.148393724,77862911.38460496
2000-01-16,22167.895338730912,63731.916528230766,59409.95950779885,22306170.784880765,81863646.7805124
2000-01-17,20759.40743018006,62226.840867471336,55635.211912882565,21779394.303614967,79930377.09426692
2000-01-18,21160.59397933747,69869.2971698702,56710.39186462443,24454254.009454567,89747112.21469826
2000-01-19,25617.252960180504,69957.07069794516,68654.23793328376,24484974.744280804,89859857.31151055
2000-01-20,23917.17718516488,61909.168160435125,64098.03485624189,21668208.856152292,79522326.5020789
2000-01-21,21115.572804151176,58292.34138287001,56589.73511512516,20402319.4840045,74876512.50629652
2000-01-22,25842.641481213766,60126.31416253461,69258.2791696529,21044209.95688711,77232250.5417757
2000-01-23,26442.37754678519,68699.53488858753,70865.57182538431,24044837.211005636,88244552.56439067
2000-01-24,26016.6556841253,61072.064582979554,69724.63723345581,21375222.604042843,78447066.95683724
2000-01-25,23163.979077025644,65959.31611361963,62079.46392642873,23085760.63976687,84724741.54794441
2000-01-26,26870.46046197058,64100.15712262906,72012.83403808116,22435054.99292017,82336651.82401703
2000-01-27,26059.616630979293,66405.30797553305,69839.77257102451,23241857.791436568,85297618.0945722
2000-01-28,25235.565393007935,58597.776950274994,67631.31525326127,20509221.932596248,75268844.49262823
2000-01-29,21972.36424181094,61727.28206050676,58885.936168053326,21604548.721177366,79288693.80672093
2000-01-30,21454.68760704922,66452.8020935232,57498.56278689192,23258480.73273312,85358624.28913054
2000-01-31,27193.99709049574,64090.933473031495,72879.91220252859,22431826.715561025,82324804.04610896
2000-02-01,24986.117048176227,65930.40033192263,66962.7936891123,23075640.11617292,84687599.22635461
2000-02-02,25914.27808968467,74801.25067695027,69450.26528035493,26180437.73693259,96082206.4945426
2000-02-03,26988.534409462252,76658.77502285287,72329.27221735884,26830571.257998504,98468196.51685451
